image,type,easting,northing,red,green,blue,nir,ndvi,bn,bnn
LT05_L1TP_042033_19881022_20161001_01_T1,water,348586,4286269,182,351,319,130,-0.1666666716337204,2.4538462162017822,-0.42093542218208313
LT05_L1TP_042033_19881022_20161001_01_T1,water,338690,4323890,620,656,527,433,-0.1775878369808197,1.2170900106430054,-0.09791667014360428
LT05_L1TP_042033_19881022_20161001_01_T1,veg,345930.0,4360830.0,358,506,272,5411,0.8758883476257324,0.05026797205209732,0.9042758941650391
LT05_L1TP_042033_19881022_20161001_01_T1,veg,344490.0,4363590.0,343,639,374,5826,0.8887988328933716,0.06419498473405838,0.8793548345565796
LT05_L1TP_042033_19881022_20161001_01_T1,veg,346410.0,4360620.0,360,611,325,5405,0.8751084208488464,0.06012950837612152,0.886561930179596
LT05_L1TP_042033_19881022_20161001_01_T1,veg,292590.0,4304550.0,67,419,172,4602,0.9713000655174255,0.03737505525350571,0.9279430508613586
LT05_L1TP_042033_19881022_20161001_01_T1,veg,346290.0,4360200.0,370,570,367,5676,0.8776050209999084,0.06465820968151093,0.8785371780395508
LT05_L1TP_042033_19881022_20161001_01_T1,veg,346290.0,4360230.0,369,569,390,5629,0.876958966255188,0.06928406655788422,0.8704103827476501
LT05_L1TP_042033_19881022_20161001_01_T1,veg,345900.0,4360830.0,359,507,349,5407,0.8754769563674927,0.06454595923423767,0.8787352442741394
LT05_L1TP_042033_19881022_20161001_01_T1,veg,353700.0,4379160.0,366,661,459,5673,0.8787878751754761,0.08090957254171371,0.8502935171127319
LT05_L1TP_042033_19881022_20161001_01_T1,veg,346440.0,4360230.0,326,571,345,5623,0.8904017210006714,0.06135514751076698,0.8843833804130554
LT05_L1TP_042033_19881022_20161001_01_T1,veg,313800.0,4317510.0,323,610,394,5188,0.8827798962593079,0.07594449073076248,0.8588319420814514
LT05_L1TP_042033_19881022_20161001_01_T1,back,447090.0,4268640.0,1272,1113,20000,1628,0.12275861948728561,12.285012245178223,-0.849454402923584
LT05_L1TP_042033_19881022_20161001_01_T1,back,310170.0,4317240.0,195,562,599,88,-0.37809187173843384,6.806818008422852,-0.743813693523407
LT05_L1TP_042033_19881022_20161001_01_T1,back,471420.0,4362540.0,1970,1613,20000,2436,0.10576486587524414,8.210180282592773,-0.7828490138053894
LT05_L1TP_042033_19881022_20161001_01_T1,back,270750.0,4239390.0,128,264,279,45,-0.4797687828540802,6.199999809265137,-0.7222222089767456
LT05_L1TP_042033_19881022_20161001_01_T1,back,346710.0,4288530.0,272,355,280,36,-0.7662337422370911,7.777777671813965,-0.7721518874168396
LT05_L1TP_042033_19881022_20161001_01_T1,back,458880.0,4314180.0,1417,1187,20000,1740,0.10231231898069382,11.494253158569336,-0.8399264216423035
LT05_L1TP_042033_19881022_20161001_01_T1,back,346770.0,4286280.0,97,350,341,31,-0.515625,11.0,-0.8333333134651184
LT05_L1TP_042033_19881022_20161001_01_T1,back,347910.0,4286010.0,181,252,271,31,-0.7075471878051758,8.741935729980469,-0.7947019934654236
LT05_L1TP_042033_19881022_20161001_01_T1,back,439470.0,4239240.0,1927,1573,20000,2244,0.07600095868110657,8.9126558303833,-0.7982377409934998
LT05_L1TP_042033_19881022_20161001_01_T1,back,451440.0,4285740.0,665,624,20000,1058,0.2280905395746231,18.90359115600586,-0.8995156288146973
