image,type,easting,northing,red,green,blue,nir,ndvi,bn,bnn
LT05_L1TP_042033_19881022_20161001_01_T1,water,338690,4323890,433,620,656,93,-0.6463878154754639,7.053763389587402,-0.7516688704490662
LT05_L1TP_042033_19881022_20161001_01_T1,veg,403860.0,4212150.0,1234,931,773,3844,0.5139818787574768,0.20109261572360992,0.66515052318573
LT05_L1TP_042033_19881022_20161001_01_T1,veg,403740.0,4212120.0,659,559,446,2231,0.5439446568489075,0.19991035759449005,0.6667912006378174
LT05_L1TP_042033_19881022_20161001_01_T1,veg,366450.0,4292970.0,870,2133,1701,2785,0.5239397883415222,0.6107720136642456,0.24164065718650818
LT05_L1TP_042033_19881022_20161001_01_T1,veg,368670.0,4292220.0,2486,2221,1893,8272,0.5378323197364807,0.2288442999124527,0.6275454759597778
LT05_L1TP_042033_19881022_20161001_01_T1,veg,277680.0,4241760.0,44,126,210,159,0.5665024518966675,1.3207547664642334,-0.13821138441562653
LT05_L1TP_042033_19881022_20161001_01_T1,veg,366420.0,4292910.0,477,2008,1560,2717,0.7013149857521057,0.5741626620292664,0.2705167233943939
LT05_L1TP_042033_19881022_20161001_01_T1,veg,346710.0,4289340.0,36,230,452,127,0.558282196521759,3.5590550899505615,-0.5613126158714294
LT05_L1TP_042033_19881022_20161001_01_T1,veg,366450.0,4292820.0,575,1672,1466,2246,0.5923431515693665,0.6527159214019775,0.21012930572032928
LT05_L1TP_042033_19881022_20161001_01_T1,veg,338250.0,4377090.0,27,137,206,126,0.6470588445663452,1.634920597076416,-0.2409638613462448
LT05_L1TP_042033_19881022_20161001_01_T1,back,334290.0,4366080.0,1033,2041,2063,25,-0.9527410268783569,82.5199966430664,-0.9760536551475525
LT05_L1TP_042033_19881022_20161001_01_T1,back,343320.0,4381950.0,1636,2175,1923,25,-0.9698976278305054,76.91999816894531,-0.9743326306343079
LT05_L1TP_042033_19881022_20161001_01_T1,back,334410.0,4366110.0,984,2042,2111,24,-0.9523809552192688,87.95833587646484,-0.9775175452232361
LT05_L1TP_042033_19881022_20161001_01_T1,back,337080.0,4367250.0,783,1615,1728,23,-0.9429280161857605,75.13043212890625,-0.9737293124198914
LT05_L1TP_042033_19881022_20161001_01_T1,back,372150.0,4376310.0,1428,1694,1960,26,-0.9642366170883179,75.38461303710938,-0.9738166928291321
LT05_L1TP_042033_19881022_20161001_01_T1,back,372180.0,4376400.0,1428,1651,1959,26,-0.9642366170883179,75.34615325927734,-0.9738035202026367
LT05_L1TP_042033_19881022_20161001_01_T1,back,334170.0,4366440.0,834,1956,2062,25,-0.9417927861213684,82.4800033569336,-0.9760421514511108
LT05_L1TP_042033_19881022_20161001_01_T1,back,334350.0,4365480.0,884,1914,2015,25,-0.9449945092201233,80.5999984741211,-0.9754902124404907
LT05_L1TP_042033_19881022_20161001_01_T1,back,334290.0,4365930.0,984,2041,2110,25,-0.9504460096359253,84.4000015258789,-0.976580798625946
LT05_L1TP_042033_19881022_20161001_01_T1,norm_back,300900.0,4300920.0,2252,1089,708,3717,0.2454347461462021,0.190476194024086,0.6800000071525574
LT05_L1TP_042033_19881022_20161001_01_T1,norm_back,342840.0,4369170.0,2283,1009,700,4554,0.3321632146835327,0.15371102094650269,0.7335363626480103
LT05_L1TP_042033_19881022_20161001_01_T1,norm_back,310620.0,4331070.0,2313,1137,757,3873,0.25218233466148376,0.19545571506023407,0.6730021834373474
LT05_L1TP_042033_19881022_20161001_01_T1,norm_back,301050.0,4300890.0,2105,962,659,3412,0.236904114484787,0.1931418478488922,0.6762466430664062
LT05_L1TP_042033_19881022_20161001_01_T1,norm_back,403770.0,4212000.0,1281,971,726,3942,0.5094773173332214,0.18417046964168549,0.688946008682251
LT05_L1TP_042033_19881022_20161001_01_T1,norm_back,403860.0,4212030.0,1281,930,726,3744,0.49014925956726074,0.19391025602817535,0.6751677989959717
LT05_L1TP_042033_19881022_20161001_01_T1,norm_back,365250.0,4293270.0,2625,2256,373,2950,0.05829596519470215,0.12644067406654358,0.7755040526390076
LT05_L1TP_042033_19881022_20161001_01_T1,norm_back,365310.0,4293360.0,2624,2297,563,2983,0.06402710825204849,0.1887361705303192,0.6824591159820557
LT05_L1TP_042033_19881022_20161001_01_T1,norm_back,403950.0,4212150.0,1615,1177,773,4369,0.46022728085517883,0.1769283562898636,0.6993387937545776
